Class; Value; Class start; Class end;
1;2844;0.000000000000;0.097470097244;
2;1462;0.097470097244;0.194940194488;
3;1368;0.194940194488;0.292410291731;
4;1402;0.292410291731;0.389880388975;
5;1456;0.389880388975;0.487350486219;
6;1166;0.487350486219;0.584820583463;
7;1404;0.584820583463;0.682290680707;
8;1318;0.682290680707;0.779760777950;
9;1188;0.779760777950;0.877230875194;
10;1240;0.877230875194;0.974700972438;
11;1324;0.974700972438;1.072171069682;
12;1148;1.072171069682;1.169641166925;
13;1038;1.169641166925;1.267111264169;
14;1170;1.267111264169;1.364581361413;
15;1050;1.364581361413;1.462051458657;
16;1170;1.462051458657;1.559521555901;
17;1202;1.559521555901;1.656991653144;
18;1180;1.656991653144;1.754461750388;
19;1188;1.754461750388;1.851931847632;
20;992;1.851931847632;1.949401944876;
21;978;1.949401944876;2.046872042120;
22;950;2.046872042120;2.144342139363;
23;1048;2.144342139363;2.241812236607;
24;934;2.241812236607;2.339282333851;
25;1020;2.339282333851;2.436752431095;
26;946;2.436752431095;2.534222528338;
27;928;2.534222528338;2.631692625582;
28;1002;2.631692625582;2.729162722826;
29;970;2.729162722826;2.826632820070;
30;936;2.826632820070;2.924102917314;
31;950;2.924102917314;3.021573014557;
32;858;3.021573014557;3.119043111801;
33;828;3.119043111801;3.216513209045;
34;858;3.216513209045;3.313983306289;
35;682;3.313983306289;3.411453403533;
36;822;3.411453403533;3.508923500776;
37;762;3.508923500776;3.606393598020;
38;828;3.606393598020;3.703863695264;
39;774;3.703863695264;3.801333792508;
40;730;3.801333792508;3.898803889751;
41;740;3.898803889751;3.996273986995;
42;698;3.996273986995;4.093744084239;
43;658;4.093744084239;4.191214181483;
44;650;4.191214181483;4.288684278727;
45;636;4.288684278727;4.386154375970;
46;620;4.386154375970;4.483624473214;
47;556;4.483624473214;4.581094570458;
48;606;4.581094570458;4.678564667702;
49;610;4.678564667702;4.776034764946;
50;562;4.776034764946;4.873504862189;
51;528;4.873504862189;4.970974959433;
52;540;4.970974959433;5.068445056677;
53;486;5.068445056677;5.165915153921;
54;480;5.165915153921;5.263385251164;
55;532;5.263385251164;5.360855348408;
56;470;5.360855348408;5.458325445652;
57;442;5.458325445652;5.555795542896;
58;378;5.555795542896;5.653265640140;
59;456;5.653265640140;5.750735737383;
60;406;5.750735737383;5.848205834627;
61;390;5.848205834627;5.945675931871;
62;368;5.945675931871;6.043146029115;
63;370;6.043146029115;6.140616126359;
64;296;6.140616126359;6.238086223602;
65;294;6.238086223602;6.335556320846;
66;282;6.335556320846;6.433026418090;
67;316;6.433026418090;6.530496515334;
68;250;6.530496515334;6.627966612577;
69;286;6.627966612577;6.725436709821;
70;288;6.725436709821;6.822906807065;
71;228;6.822906807065;6.920376904309;
72;244;6.920376904309;7.017847001553;
73;232;7.017847001553;7.115317098796;
74;224;7.115317098796;7.212787196040;
75;212;7.212787196040;7.310257293284;
76;228;7.310257293284;7.407727390528;
77;170;7.407727390528;7.505197487772;
78;186;7.505197487772;7.602667585015;
79;204;7.602667585015;7.700137682259;
80;162;7.700137682259;7.797607779503;
81;154;7.797607779503;7.895077876747;
82;152;7.895077876747;7.992547973990;
83;152;7.992547973990;8.090018071234;
84;170;8.090018071234;8.187488168478;
85;130;8.187488168478;8.284958265722;
86;122;8.284958265722;8.382428362966;
87;108;8.382428362966;8.479898460209;
88;150;8.479898460209;8.577368557453;
89;120;8.577368557453;8.674838654697;
90;132;8.674838654697;8.772308751941;
91;98;8.772308751941;8.869778849185;
92;126;8.869778849185;8.967248946428;
93;108;8.967248946428;9.064719043672;
94;110;9.064719043672;9.162189140916;
95;100;9.162189140916;9.259659238160;
96;106;9.259659238160;9.357129335403;
97;100;9.357129335403;9.454599432647;
98;82;9.454599432647;9.552069529891;
99;108;9.552069529891;9.649539627135;
100;84;9.649539627135;9.747009724379;
101;86;9.747009724379;9.844479821622;
102;98;9.844479821622;9.941949918866;
103;68;9.941949918866;10.039420016110;
104;82;10.039420016110;10.136890113354;
105;76;10.136890113354;10.234360210598;
106;78;10.234360210598;10.331830307841;
107;56;10.331830307841;10.429300405085;
108;66;10.429300405085;10.526770502329;
109;66;10.526770502329;10.624240599573;
110;62;10.624240599573;10.721710696816;
111;46;10.721710696816;10.819180794060;
112;78;10.819180794060;10.916650891304;
113;46;10.916650891304;11.014120988548;
114;48;11.014120988548;11.111591085792;
115;58;11.111591085792;11.209061183035;
116;38;11.209061183035;11.306531280279;
117;60;11.306531280279;11.404001377523;
118;52;11.404001377523;11.501471474767;
119;34;11.501471474767;11.598941572011;
120;32;11.598941572011;11.696411669254;
121;48;11.696411669254;11.793881766498;
122;46;11.793881766498;11.891351863742;
123;34;11.891351863742;11.988821960986;
124;32;11.988821960986;12.086292058229;
125;24;12.086292058229;12.183762155473;
126;74;12.183762155473;12.281232252717;
127;40;12.281232252717;12.378702349961;
128;38;12.378702349961;12.476172447205;
129;26;12.476172447205;12.573642544448;
130;26;12.573642544448;12.671112641692;
131;34;12.671112641692;12.768582738936;
132;28;12.768582738936;12.866052836180;
133;24;12.866052836180;12.963522933424;
134;34;12.963522933424;13.060993030667;
135;16;13.060993030667;13.158463127911;
136;30;13.158463127911;13.255933225155;
137;36;13.255933225155;13.353403322399;
138;14;13.353403322399;13.450873419642;
139;32;13.450873419642;13.548343516886;
140;24;13.548343516886;13.645813614130;
141;18;13.645813614130;13.743283711374;
142;18;13.743283711374;13.840753808618;
143;18;13.840753808618;13.938223905861;
144;30;13.938223905861;14.035694003105;
145;20;14.035694003105;14.133164100349;
146;16;14.133164100349;14.230634197593;
147;26;14.230634197593;14.328104294837;
148;14;14.328104294837;14.425574392080;
149;36;14.425574392080;14.523044489324;
150;8;14.523044489324;14.620514586568;
151;20;14.620514586568;14.717984683812;
152;22;14.717984683812;14.815454781055;
153;18;14.815454781055;14.912924878299;
154;36;14.912924878299;15.010394975543;
155;12;15.010394975543;15.107865072787;
156;32;15.107865072787;15.205335170031;
157;20;15.205335170031;15.302805267274;
158;8;15.302805267274;15.400275364518;
159;10;15.400275364518;15.497745461762;
160;12;15.497745461762;15.595215559006;
161;16;15.595215559006;15.692685656250;
162;22;15.692685656250;15.790155753493;
163;10;15.790155753493;15.887625850737;
164;8;15.887625850737;15.985095947981;
165;18;15.985095947981;16.082566045225;
166;28;16.082566045225;16.180036142468;
167;12;16.180036142468;16.277506239712;
168;8;16.277506239712;16.374976336956;
169;14;16.374976336956;16.472446434200;
170;14;16.472446434200;16.569916531444;
171;14;16.569916531444;16.667386628687;
172;8;16.667386628687;16.764856725931;
173;12;16.764856725931;16.862326823175;
174;12;16.862326823175;16.959796920419;
175;6;16.959796920419;17.057267017663;
176;8;17.057267017663;17.154737114906;
177;4;17.154737114906;17.252207212150;
178;20;17.252207212150;17.349677309394;
179;8;17.349677309394;17.447147406638;
180;6;17.447147406638;17.544617503881;
181;6;17.544617503881;17.642087601125;
182;8;17.642087601125;17.739557698369;
183;20;17.739557698369;17.837027795613;
184;6;17.837027795613;17.934497892857;
185;6;17.934497892857;18.031967990100;
186;8;18.031967990100;18.129438087344;
187;4;18.129438087344;18.226908184588;
188;4;18.226908184588;18.324378281832;
189;10;18.324378281832;18.421848379076;
190;6;18.421848379076;18.519318476319;
191;12;18.519318476319;18.616788573563;
192;8;18.616788573563;18.714258670807;
193;10;18.714258670807;18.811728768051;
194;6;18.811728768051;18.909198865294;
195;10;18.909198865294;19.006668962538;
196;4;19.006668962538;19.104139059782;
197;6;19.104139059782;19.201609157026;
198;4;19.201609157026;19.299079254270;
199;4;19.299079254270;19.396549351513;
200;2;19.396549351513;19.494019448757;
201;6;19.494019448757;19.591489546001;
202;2;19.591489546001;19.688959643245;
203;6;19.688959643245;19.786429740489;
204;6;19.786429740489;19.883899837732;
205;6;19.883899837732;19.981369934976;
206;6;19.981369934976;20.078840032220;
207;8;20.078840032220;20.176310129464;
208;6;20.176310129464;20.273780226707;
209;2;20.273780226707;20.371250323951;
210;6;20.371250323951;20.468720421195;
211;2;20.468720421195;20.566190518439;
212;4;20.566190518439;20.663660615683;
