Class; Value; Class start; Class end;
1;354;0.000277278508;0.117756534333;
2;338;0.117756534333;0.235235790157;
3;294;0.235235790157;0.352715045981;
4;308;0.352715045981;0.470194301805;
5;262;0.470194301805;0.587673557629;
6;274;0.587673557629;0.705152813454;
7;276;0.705152813454;0.822632069278;
8;256;0.822632069278;0.940111325102;
9;248;0.940111325102;1.057590580926;
10;198;1.057590580926;1.175069836750;
11;192;1.175069836750;1.292549092575;
12;168;1.292549092575;1.410028348399;
13;162;1.410028348399;1.527507604223;
14;168;1.527507604223;1.644986860047;
15;188;1.644986860047;1.762466115872;
16;158;1.762466115872;1.879945371696;
17;152;1.879945371696;1.997424627520;
18;132;1.997424627520;2.114903883344;
19;158;2.114903883344;2.232383139168;
20;148;2.232383139168;2.349862394993;
21;154;2.349862394993;2.467341650817;
22;156;2.467341650817;2.584820906641;
23;124;2.584820906641;2.702300162465;
24;112;2.702300162465;2.819779418290;
25;108;2.819779418290;2.937258674114;
26;98;2.937258674114;3.054737929938;
27;94;3.054737929938;3.172217185762;
28;84;3.172217185762;3.289696441586;
29;86;3.289696441586;3.407175697411;
30;92;3.407175697411;3.524654953235;
31;72;3.524654953235;3.642134209059;
32;78;3.642134209059;3.759613464883;
33;54;3.759613464883;3.877092720708;
34;58;3.877092720708;3.994571976532;
35;54;3.994571976532;4.112051232356;
36;52;4.112051232356;4.229530488180;
37;62;4.229530488180;4.347009744004;
38;52;4.347009744004;4.464488999829;
39;56;4.464488999829;4.581968255653;
40;44;4.581968255653;4.699447511477;
41;64;4.699447511477;4.816926767301;
42;38;4.816926767301;4.934406023125;
43;38;4.934406023125;5.051885278950;
44;38;5.051885278950;5.169364534774;
45;50;5.169364534774;5.286843790598;
46;30;5.286843790598;5.404323046422;
47;34;5.404323046422;5.521802302247;
48;38;5.521802302247;5.639281558071;
49;42;5.639281558071;5.756760813895;
50;28;5.756760813895;5.874240069719;
51;28;5.874240069719;5.991719325543;
52;24;5.991719325543;6.109198581368;
53;12;6.109198581368;6.226677837192;
54;24;6.226677837192;6.344157093016;
55;20;6.344157093016;6.461636348840;
56;8;6.461636348840;6.579115604665;
57;16;6.579115604665;6.696594860489;
58;12;6.696594860489;6.814074116313;
59;16;6.814074116313;6.931553372137;
60;12;6.931553372137;7.049032627961;
61;18;7.049032627961;7.166511883786;
62;12;7.166511883786;7.283991139610;
63;14;7.283991139610;7.401470395434;
64;18;7.401470395434;7.518949651258;
65;10;7.518949651258;7.636428907083;
66;6;7.636428907083;7.753908162907;
67;12;7.753908162907;7.871387418731;
68;10;7.871387418731;7.988866674555;
69;8;7.988866674555;8.106345930379;
70;14;8.106345930379;8.223825186204;
71;4;8.223825186204;8.341304442028;
72;6;8.341304442028;8.458783697852;
73;6;8.458783697852;8.576262953676;
74;2;8.576262953676;8.693742209500;
75;6;8.693742209500;8.811221465325;
76;4;8.811221465325;8.928700721149;
77;2;8.928700721149;9.046179976973;
78;4;9.046179976973;9.163659232797;
79;6;9.163659232797;9.281138488622;
80;2;9.281138488622;9.398617744446;
