Barcode,CellType
s_008um_00269_00526-1,
s_008um_00484_00168-1,
s_008um_00693_00628-1,Fibroblast
s_008um_00260_00253-1,Fibroblast
s_008um_00433_00599-1,
s_008um_00819_00322-1,
s_008um_00266_00304-1,
s_008um_00660_00606-1,Fibroblast
s_008um_00753_00136-1,MCF7
s_008um_00261_00528-1,
s_008um_00300_00251-1,Fibroblast
s_008um_00359_00037-1,
s_008um_00230_00711-1,Fibroblast
s_008um_00769_00327-1,
s_008um_00171_00505-1,
s_008um_00435_00710-1,
s_008um_00221_00585-1,Fibroblast
s_008um_00469_00254-1,
s_008um_00226_00670-1,Fibroblast
s_008um_00140_00071-1,
s_008um_00706_00764-1,
s_008um_00378_00818-1,
s_008um_00706_00559-1,Fibroblast
s_008um_00388_00048-1,
s_008um_00290_00103-1,Fibroblast
s_008um_00346_00363-1,
s_008um_00455_00064-1,
s_008um_00330_00481-1,
s_008um_00594_00250-1,
s_008um_00356_00057-1,
s_008um_00099_00164-1,
s_008um_00563_00688-1,
s_008um_00659_00527-1,
s_008um_00421_00542-1,
s_008um_00511_00539-1,
s_008um_00229_00316-1,
s_008um_00244_00228-1,Fibroblast
s_008um_00467_00255-1,
s_008um_00282_00491-1,
s_008um_00473_00667-1,
s_008um_00446_00585-1,
s_008um_00818_00361-1,
s_008um_00744_00190-1,MCF10A
s_008um_00816_00072-1,
s_008um_00409_00834-1,
s_008um_00369_00144-1,Fibroblast
s_008um_00394_00534-1,
s_008um_00818_00086-1,Fibroblast
s_008um_00270_00460-1,
s_008um_00395_00261-1,Fibroblast
s_008um_00264_00469-1,
s_008um_00366_00498-1,
s_008um_00482_00735-1,
s_008um_00794_00717-1,Fibroblast
s_008um_00204_00379-1,
s_008um_00830_00241-1,Fibroblast
s_008um_00263_00033-1,
s_008um_00185_00779-1,
s_008um_00402_00516-1,
s_008um_00441_00528-1,
s_008um_00288_00295-1,
s_008um_00163_00277-1,
s_008um_00715_00733-1,Fibroblast
s_008um_00489_00609-1,
s_008um_00376_00610-1,Fibroblast
s_008um_00256_00718-1,Fibroblast
s_008um_00475_00723-1,
s_008um_00473_00018-1,
s_008um_00261_00183-1,Fibroblast
s_008um_00602_00090-1,
s_008um_00270_00492-1,
s_008um_00763_00706-1,MCF7
s_008um_00464_00577-1,
s_008um_00604_00723-1,
s_008um_00446_00748-1,
s_008um_00586_00585-1,
s_008um_00242_00784-1,
s_008um_00220_00651-1,Fibroblast
s_008um_00466_00549-1,
s_008um_00202_00133-1,
s_008um_00209_00651-1,Fibroblast
s_008um_00696_00729-1,Fibroblast
s_008um_00394_00457-1,
s_008um_00312_00311-1,
s_008um_00163_00098-1,
s_008um_00316_00443-1,
s_008um_00650_00145-1,
s_008um_00409_00136-1,
s_008um_00666_00279-1,
s_008um_00554_00694-1,
s_008um_00543_00310-1,
s_008um_00289_00088-1,Fibroblast
s_008um_00410_00025-1,
s_008um_00322_00141-1,Fibroblast
s_008um_00775_00247-1,Fibroblast
s_008um_00465_00234-1,
s_008um_00393_00192-1,Fibroblast
s_008um_00233_00417-1,
s_008um_00162_00133-1,
s_008um_00430_00560-1,
s_008um_00377_00231-1,Fibroblast
s_008um_00694_00591-1,Fibroblast
s_008um_00325_00693-1,Fibroblast
s_008um_00668_00751-1,Fibroblast
s_008um_00563_00699-1,
s_008um_00188_00300-1,
s_008um_00734_00362-1,
s_008um_00133_00079-1,
s_008um_00772_00291-1,
s_008um_00601_00666-1,
s_008um_00469_00291-1,
s_008um_00680_00706-1,Fibroblast
s_008um_00251_00248-1,Fibroblast
s_008um_00371_00669-1,Fibroblast
s_008um_00265_00788-1,
s_008um_00808_00317-1,
s_008um_00408_00761-1,Fibroblast
s_008um_00717_00303-1,
s_008um_00611_00109-1,
s_008um_00331_00304-1,
s_008um_00462_00217-1,
s_008um_00491_00271-1,
s_008um_00317_00501-1,
s_008um_00585_00267-1,
s_008um_00197_00118-1,
s_008um_00363_00264-1,Fibroblast
s_008um_00104_00760-1,
s_008um_00123_00277-1,
s_008um_00291_00780-1,
s_008um_00232_00604-1,Fibroblast
s_008um_00318_00791-1,
s_008um_00320_00564-1,Fibroblast
s_008um_00650_00596-1,Fibroblast
s_008um_00298_00337-1,
s_008um_00742_00086-1,Fibroblast
s_008um_00267_00252-1,Fibroblast
s_008um_00826_00278-1,Fibroblast
s_008um_00353_00320-1,
s_008um_00773_00724-1,Fibroblast
s_008um_00246_00785-1,
s_008um_00323_00714-1,Fibroblast
s_008um_00616_00346-1,
s_008um_00128_00709-1,
s_008um_00478_00638-1,
s_008um_00800_00491-1,
s_008um_00364_00696-1,Fibroblast
s_008um_00766_00693-1,MCF7
s_008um_00293_00693-1,Fibroblast
s_008um_00358_00042-1,
s_008um_00788_00806-1,
s_008um_00167_00102-1,
s_008um_00314_00127-1,Fibroblast
s_008um_00653_00733-1,Fibroblast
s_008um_00311_00384-1,
s_008um_00345_00628-1,Fibroblast
s_008um_00783_00358-1,
s_008um_00653_00222-1,
s_008um_00321_00727-1,Fibroblast
s_008um_00705_00781-1,
s_008um_00167_00802-1,
s_008um_00796_00130-1,Fibroblast
s_008um_00772_00594-1,Fibroblast
s_008um_00723_00626-1,Fibroblast
s_008um_00712_00186-1,Fibroblast
s_008um_00782_00371-1,
s_008um_00214_00685-1,Fibroblast
s_008um_00237_00266-1,
s_008um_00237_00286-1,
s_008um_00650_00647-1,Fibroblast
s_008um_00400_00769-1,
s_008um_00182_00025-1,
s_008um_00723_00682-1,Fibroblast
s_008um_00789_00122-1,MCF10A
s_008um_00163_00546-1,
s_008um_00386_00027-1,
s_008um_00450_00135-1,
s_008um_00731_00762-1,
s_008um_00503_00610-1,
s_008um_00356_00232-1,Fibroblast
s_008um_00349_00256-1,Fibroblast
s_008um_00758_00806-1,
s_008um_00714_00264-1,Fibroblast
s_008um_00314_00250-1,Fibroblast
s_008um_00645_00129-1,
s_008um_00615_00111-1,
s_008um_00700_00481-1,
s_008um_00380_00318-1,
s_008um_00269_00293-1,
s_008um_00634_00609-1,Fibroblast
s_008um_00631_00525-1,
s_008um_00416_00641-1,
s_008um_00674_00219-1,
s_008um_00756_00792-1,
s_008um_00286_00566-1,Fibroblast
s_008um_00341_00319-1,
s_008um_00679_00133-1,
s_008um_00294_00510-1,
s_008um_00770_00608-1,Fibroblast
s_008um_00107_00079-1,
s_008um_00813_00303-1,
s_008um_00714_00545-1,Fibroblast
s_008um_00413_00031-1,
s_008um_00293_00155-1,Fibroblast
s_008um_00703_00562-1,Fibroblast
s_008um_00160_00491-1,
s_008um_00225_00763-1,Fibroblast
s_008um_00755_00571-1,Fibroblast
s_008um_00709_00758-1,
s_008um_00761_00560-1,Fibroblast
s_008um_00819_00524-1,
s_008um_00239_00585-1,Fibroblast
s_008um_00796_00769-1,
s_008um_00259_00265-1,Fibroblast
s_008um_00632_00796-1,
s_008um_00325_00720-1,Fibroblast
s_008um_00380_00291-1,
s_008um_00315_00617-1,Fibroblast
s_008um_00828_00344-1,
s_008um_00347_00270-1,Fibroblast
s_008um_00763_00324-1,
s_008um_00234_00165-1,
s_008um_00373_00074-1,Fibroblast
s_008um_00190_00019-1,
s_008um_00713_00543-1,Fibroblast
s_008um_00600_00405-1,
s_008um_00441_00271-1,
s_008um_00341_00711-1,Fibroblast
s_008um_00485_00063-1,
s_008um_00689_00040-1,
s_008um_00240_00229-1,
s_008um_00789_00620-1,Fibroblast
s_008um_00351_00695-1,Fibroblast
s_008um_00587_00565-1,
s_008um_00482_00270-1,
s_008um_00425_00509-1,
s_008um_00240_00222-1,
s_008um_00406_00166-1,
s_008um_00166_00262-1,
s_008um_00290_00029-1,
s_008um_00800_00303-1,
s_008um_00165_00044-1,
s_008um_00216_00339-1,
s_008um_00399_00170-1,Fibroblast
s_008um_00468_00192-1,
s_008um_00692_00312-1,
s_008um_00452_00227-1,
s_008um_00158_00099-1,
s_008um_00099_00250-1,
s_008um_00370_00055-1,
s_008um_00738_00023-1,
s_008um_00716_00127-1,Fibroblast
s_008um_00229_00310-1,
s_008um_00113_00259-1,
s_008um_00622_00168-1,
s_008um_00324_00137-1,Fibroblast
s_008um_00309_00340-1,
s_008um_00158_00702-1,
s_008um_00325_00756-1,Fibroblast
s_008um_00823_00342-1,
s_008um_00580_00686-1,
s_008um_00619_00551-1,
s_008um_00644_00691-1,Fibroblast
s_008um_00373_00268-1,Fibroblast
s_008um_00364_00080-1,Fibroblast
s_008um_00765_00348-1,
s_008um_00706_00148-1,Fibroblast
s_008um_00347_00004-1,
s_008um_00302_00169-1,Fibroblast
s_008um_00315_00519-1,
s_008um_00140_00621-1,
s_008um_00806_00064-1,
s_008um_00220_00808-1,
s_008um_00247_00554-1,
s_008um_00239_00296-1,
s_008um_00268_00356-1,
s_008um_00491_00199-1,
s_008um_00370_00570-1,Fibroblast
s_008um_00137_00622-1,
s_008um_00273_00009-1,
s_008um_00135_00193-1,
s_008um_00657_00134-1,
s_008um_00217_00175-1,
s_008um_00806_00783-1,
s_008um_00702_00646-1,Fibroblast
s_008um_00821_00144-1,Fibroblast
s_008um_00294_00496-1,
s_008um_00611_00376-1,
s_008um_00141_00201-1,
s_008um_00825_00649-1,Fibroblast
s_008um_00253_00218-1,Fibroblast
s_008um_00223_00792-1,
s_008um_00451_00155-1,
s_008um_00730_00474-1,
s_008um_00126_00262-1,
s_008um_00418_00675-1,
s_008um_00677_00267-1,
s_008um_00714_00218-1,Fibroblast
s_008um_00810_00249-1,Fibroblast
s_008um_00772_00140-1,Fibroblast
s_008um_00222_00506-1,
s_008um_00396_00571-1,Fibroblast
s_008um_00719_00075-1,Fibroblast
s_008um_00645_00214-1,
s_008um_00103_00585-1,
s_008um_00681_00169-1,
s_008um_00220_00614-1,Fibroblast
s_008um_00786_00675-1,Fibroblast
s_008um_00162_00668-1,
