Barcode,PrintPattern
s_008um_00269_00526-1,
s_008um_00547_00611-1,Random_3
s_008um_00693_00628-1,
s_008um_00137_00810-1,Fibroblast_CTRL
s_008um_00660_00606-1,Random_3
s_008um_00266_00304-1,MCF7_CTRL
s_008um_00734_00362-1,
s_008um_00753_00136-1,
s_008um_00261_00528-1,
s_008um_00563_00699-1,Random_3
s_008um_00230_00711-1,Fibroblast_CTRL
s_008um_00769_00327-1,
s_008um_00171_00505-1,MCF7_CTRL
s_008um_00674_00375-1,
s_008um_00221_00585-1,
s_008um_00435_00710-1,
s_008um_00226_00670-1,
s_008um_00469_00254-1,
s_008um_00706_00764-1,
s_008um_00184_00462-1,
s_008um_00706_00559-1,
s_008um_00446_00748-1,
s_008um_00594_00250-1,Pattern_3
s_008um_00455_00064-1,
s_008um_00282_00491-1,
s_008um_00099_00164-1,MCF10A_CTRL
s_008um_00659_00527-1,
s_008um_00563_00688-1,Random_3
s_008um_00511_00539-1,
s_008um_00591_00776-1,
s_008um_00744_00190-1,
s_008um_00229_00316-1,MCF7_CTRL
s_008um_00244_00228-1,
s_008um_00467_00255-1,
s_008um_00473_00667-1,
s_008um_00474_00567-1,
s_008um_00554_00660-1,Random_3
s_008um_00715_00733-1,
s_008um_00818_00086-1,
s_008um_00264_00469-1,
s_008um_00204_00379-1,MCF7_CTRL
s_008um_00028_00200-1,MCF10A_CTRL
s_008um_00482_00735-1,
s_008um_00312_00311-1,
s_008um_00081_00752-1,Fibroblast_CTRL
s_008um_00185_00779-1,Fibroblast_CTRL
s_008um_00402_00516-1,
s_008um_00288_00295-1,
s_008um_00489_00609-1,
s_008um_00464_00577-1,
s_008um_00256_00718-1,Fibroblast_CTRL
s_008um_00475_00723-1,
s_008um_00604_00723-1,Random_3
s_008um_00572_00282-1,Pattern_3
s_008um_00602_00090-1,Pattern_3
s_008um_00270_00492-1,
s_008um_00763_00706-1,
s_008um_00586_00585-1,Random_3
s_008um_00242_00784-1,Fibroblast_CTRL
s_008um_00506_00735-1,
s_008um_00553_00089-1,Pattern_3
s_008um_00209_00651-1,
s_008um_00129_00813-1,Fibroblast_CTRL
s_008um_00696_00729-1,
s_008um_00569_00708-1,Random_3
s_008um_00409_00136-1,
s_008um_00650_00145-1,Pattern_3
