source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
MCF10A,Fibroblast,COL1A1,CD44,2.257597,0.22,2.6443126,0.005017431765426968,0.11041789203073327,0.12111047,0.97541827,0.013065887686149167,0.007632810966131245
Fibroblast,Fibroblast,COL1A1,CD44,2.2514029,0.014,2.635745,0.0019579995871285144,0.16338042611767545,0.12071807,0.97537935,0.012260389602614911,0.013478979614603974
MCF7,Fibroblast,COL1A1,CD44,2.2446728,0.57,2.6264367,-0.0013657008147926275,0.06535971732398549,0.12029174,0.9753368,0.1048093087682763,0.017002087133355964
Fibroblast,Fibroblast,VIM,CD44,2.2006476,0.0,2.5655432,0.010656246967497408,0.3138143261208084,0.13029248,0.9750531,0.00011692418673148072,0.020919556501156473
Fibroblast,Fibroblast,TIMP1,CD63,2.183993,0.0,3.063441,0.007037396749137832,0.2384916062293121,0.12691315,0.9771218,0.0007662743501634319,0.025227147268258303
MCF10A,MCF10A,COL1A1,CD44,2.2252152,0.918,2.3966808,-0.01587552869131427,-0.1284190291256717,0.10976884,0.9742115,0.8376366422815822,0.034995735202197134
Fibroblast,MCF10A,TIMP1,CD63,2.1432433,0.995,2.7789845,-0.016757316754653268,-0.0030975895402050035,0.11512859,0.9760068,1.0,0.04044824775391703
Fibroblast,MCF10A,COL1A1,CD44,2.219021,1.0,2.3889158,-0.018934960869612723,-0.07545649503872953,0.10941319,0.9741707,1.0,0.04044824775391703
MCF10A,MCF10A,MMP1,ITGA2,0.4343226,0.952,0.18836741,-0.014795177754351862,-0.1406032319374353,0.1237017,0.91372406,1.0,0.04390173899998565
MCF7,MCF10A,COL1A1,CD44,2.212291,0.94,2.3804789,-0.022258661271533864,-0.1734772038324195,0.10902678,0.97412616,1.0,0.046273919902726814
Fibroblast,MCF10A,VIM,CD44,2.1682658,0.897,2.325288,-0.01023671348924383,0.07497740496440342,0.11809098,0.97382885,0.2529282264836665,0.05902778119262726
Fibroblast,MCF7,TIMP1,CD63,2.1276546,0.995,2.670166,-0.025860154102278685,-0.015790100840652688,0.11062043,0.9755346,1.0,0.08085125886197196
MCF10A,MCF7,COL1A1,CD44,2.2075136,0.978,2.2613115,-0.02729705538019699,-0.19504257209213693,0.10356888,0.973471,1.0,0.08085125886197196
Fibroblast,MCF10A,COL12A1,ITGA2_ITGB1,0.43741333,0.502,0.1911535,0.00035847462242133985,0.10015637666537813,0.13094375,0.91430104,0.07757528677841644,0.08737307224327766
MCF10A,Fibroblast,TIMP1,CD63,2.0989473,1.0,2.9141502,-0.03317248267338737,0.040993573091003155,0.120728284,0.97655666,1.0,0.08737307224327766
Fibroblast,MCF7,COL1A1,CD44,2.2013192,0.998,2.253985,-0.030356487558495442,-0.14208003800519475,0.103233315,0.9734291,1.0,0.08882683914862978
MCF7,MCF7,COL1A1,CD44,2.1945894,0.985,2.2460246,-0.03368018796041659,-0.2401007467988847,0.102868736,0.97338325,1.0,0.097145895884147
MCF10A,MCF10A,TIMP1,CD63,2.0581975,1.0,2.643556,-0.05696719617717847,-0.20059562267851394,0.10951803,0.9754148,1.0,0.10580418861877645
Fibroblast,MCF7,VIM,CD44,2.150564,0.964,2.1939511,-0.02165824017812655,0.008353861997938195,0.11142097,0.9730777,0.5460420170812365,0.10580418861877645
MCF10A,MCF7,TIMP1,CD63,2.0426087,1.0,2.5400407,-0.0660700335248039,-0.21328813397896162,0.105229564,0.9749313,1.0,0.11479747690277092
MCF10A,Fibroblast,VIM,CD44,2.004863,1.0,2.2947445,-0.0858577007951106,-0.040478065581454725,0.11653982,0.9736599,1.0,0.1241215202863832
MCF10A,Fibroblast,MMP1,ITGA2,0.43786022,0.972,0.19132438,-0.012070957512121668,-0.012686569590426577,0.12564355,0.914336,0.48115941583228183,0.13041611588675914
MCF7,Fibroblast,VIM,CD44,1.9870415,1.0,2.2700949,-0.09464330221153248,-0.06647067554312258,0.11528797,0.973521,1.0,0.13377209323391787
MCF7,Fibroblast,TIMP1,CD63,1.9820938,1.0,2.7090244,-0.0884104543146003,-0.061989371592084064,0.11223026,0.97570646,1.0,0.14374492595413207
MCF10A,MCF10A,VIM,CD44,1.9724811,1.0,2.0798488,-0.10675066125185183,-0.2793149867378597,0.10562622,0.9723692,1.0,0.1540357924182773
MCF10A,MCF10A,LAMC1,ITGA2_ITGB1,0.4406926,0.78,0.19410954,-0.006192479131583133,-0.1041250637180251,0.11878021,0.91490036,0.6008335917328992,0.17303300236169195
MCF7,MCF10A,VIM,CD44,1.9546596,1.0,2.0575075,-0.11553626266827371,-0.30530759669952756,0.1044916,0.97222376,1.0,0.17555466477937204
MCF7,MCF10A,TIMP1,CD63,1.941344,1.0,2.4574773,-0.1122051678183914,-0.30357856736160116,0.1018091,0.9745243,1.0,0.18677418977682714
MCF10A,MCF7,VIM,CD44,1.9547794,1.0,1.9623748,-0.11817218794073456,-0.3459385297043249,0.09966024,0.97157735,1.0,0.18677418977682714
MCF7,MCF7,VIM,CD44,1.9369578,1.0,1.9412953,-0.12695778935715643,-0.3719311396659928,0.0985897,0.97142786,1.0,0.1982947867192244
MCF7,MCF7,TIMP1,CD63,1.9257553,1.0,2.3612483,-0.12130800516601682,-0.31627107866204884,0.097822495,0.97402376,1.0,0.21011221515681666
Fibroblast,Fibroblast,COL12A1,ITGA2_ITGB1,0.440951,0.0,0.19415422,0.0030826948646515318,0.22807303901238685,0.1329993,0.9149093,0.003503329950157863,0.2152258356997396
