source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Fibroblast,MCF10A,TIMP1,CD63,2.1036801,0.2,2.9158702,0.016422442460675153,0.11142084052259049,0.11632148,0.97534734,0.09325722634559974,0.00018538691539976522
MCF10A,MCF10A,TIMP1,CD63,2.0943995,0.373,2.8996286,0.012090278862301792,-0.01286538447904384,0.115673564,0.9752801,0.17075336384126766,0.0007392937174104695
Fibroblast,MCF7,TIMP1,CD63,2.0846322,0.119,2.7889228,0.0047986285814731085,0.07476773585750252,0.11125722,0.9748065,0.17382725223686907,0.0029391433161331452
MCF10A,MCF7,TIMP1,CD63,2.0753515,0.491,2.7733881,0.00046646498309974764,-0.049518489144131816,0.11063751,0.9747378,0.6942608018577967,0.004578324838784254
Fibroblast,Fibroblast,TIMP1,CD63,2.080512,0.0,2.7614634,0.002284139897790921,0.0837199919517686,0.11016181,0.9746847,0.14725209514377433,0.0065725019106306955
MCF10A,Fibroblast,TIMP1,CD63,2.0712314,0.538,2.746082,-0.0020480237005824392,-0.04056623304986573,0.109548196,0.9746157,0.8416166945563827,0.00891829421493812
MCF7,MCF10A,TIMP1,CD63,2.0477355,0.796,2.8179646,-0.009766224617399942,-0.051374930643777184,0.112415776,0.9749334,0.43037937299364815,0.00891829421493812
MCF7,MCF7,TIMP1,CD63,2.0286875,1.0,2.6952796,-0.02139003849660199,-0.08802803530886516,0.10752156,0.9743837,1.0,0.011612320836462724
MCF7,Fibroblast,TIMP1,CD63,2.0245674,1.0,2.6687424,-0.023904527180284175,-0.07907577921459907,0.106462926,0.9742599,1.0,0.014651200859960694
Fibroblast,Fibroblast,VIM,CD44,2.0025334,0.0,2.231963,0.007167127021609762,0.21850540527739204,0.12507221,0.9719214,0.002025,0.01803155627960913
MCF10A,Fibroblast,COL1A1,CD44,1.9999222,0.208,2.2284684,0.01620733615898171,0.16676835508653332,0.12219404,0.9719,0.009843591626255036,0.021750000637024647
Fibroblast,Fibroblast,COL1A1,CD44,1.9756889,0.0,2.196042,0.004947965047233909,0.19965449878033903,0.120415986,0.9716991,0.01684898060241787,0.025803155647911226
MCF7,MCF7,LAMC1,ITGA2_ITGB1,0.38910866,1.0,0.15137975,-0.02066883924936431,-0.18825239494588852,0.11163033,0.90014553,1.0,0.040723420955282544
Fibroblast,MCF7,VIM,CD44,1.9748324,0.97,2.04714,-0.011342881652052212,-0.005758220004298709,0.11471531,0.97071755,0.5578798963572627,0.045295263921292045
MCF10A,MCF7,COL1A1,CD44,1.972221,0.416,2.0439348,-0.002302672514680266,-0.05749527019515743,0.11207547,0.97069526,0.48768868246704483,0.05097126325202517
Fibroblast,MCF7,COL1A1,CD44,1.9479878,0.994,2.0141935,-0.013562043626428065,-0.02460912650135172,0.11044466,0.9704861,1.0,0.05696167818246983
MCF7,Fibroblast,COL1A1,CD44,1.9107578,1.0,2.1091576,-0.025169462216442624,0.016687446535369688,0.11565184,0.9711388,1.0,0.0632631474318169
MCF7,Fibroblast,VIM,CD44,1.9019946,1.0,2.0974317,-0.04036742371263495,0.00627700424020361,0.1175335,0.9710605,1.0,0.06987228051421346
Fibroblast,MCF10A,VIM,CD44,1.9604042,0.834,1.9508736,-0.02098346198571069,-0.020002496747361542,0.10932085,0.9700252,0.9356964705279694,0.06987228051421346
MCF10A,MCF10A,COL1A1,CD44,1.9577928,0.542,1.9478195,-0.011943252848338741,-0.07173954693822027,0.106805146,0.9700024,1.0,0.0767856849266075
MCF10A,MCF7,MMP1,ITGA2,0.3918367,0.969,0.15347502,-0.03715508057265419,-0.2076449759111203,0.10666246,0.9007617,1.0,0.0810766315658127
MCF10A,Fibroblast,VIM,CD44,1.8769574,0.994,2.0639293,-0.052206541886481515,0.052863759573521296,0.115656145,0.9708334,1.0,0.08400000241398813
MCF7,MCF7,COL1A1,CD44,1.8830566,1.0,1.9345039,-0.0436794708901046,-0.20757617874632106,0.10607502,0.9699024,1.0,0.08400000241398813
MCF7,MCF7,VIM,CD44,1.8742934,1.0,1.9237489,-0.058877432386296925,-0.21798662104148714,0.107800856,0.9698209,1.0,0.09931780663475247
Fibroblast,MCF10A,COL1A1,CD44,1.9335594,0.862,1.9194766,-0.02320262396008654,-0.03885340324441455,0.10525102,0.9697884,1.0,0.09931780663475247
MCF10A,MCF7,LAMC1,ITGA2_ITGB1,0.39588237,0.743,0.15658231,-0.015077417625336903,-0.10047171883372208,0.115466796,0.90165395,0.8416166945563827,0.12106132636716413
